,id,text,creator_id,created_on,language_id,activity_id,score,label
167646,2675452,Simplotan is a kind of antibiotic,393.0,2010-05-17 10:07:40.417671-04,en,40.0,1.0,0
167648,2675454,Denialism is a kind of mental health problem,393.0,2010-05-17 18:36:02.560382-04,en,40.0,1.0,0
167652,2675459,A psychosis is a kind of disease.,38206.0,2010-05-18 14:16:19.198151-04,en,40.0,1.0,0
167653,2675460,A tambourine is a kind of instrument.,38206.0,2010-05-18 14:23:35.890704-04,en,40.0,1.0,0
268984,1214851,"Guacamole is a kind of food, and barbecue is a method of preparing food.",10448,2006-11-14 17:50:11.938709-05,en,27.0,1.0,0
268987,1214854,An automatic rifle is a kind of weapon.,10448,2006-11-14 17:50:11.988569-05,en,27.0,1.0,0
268993,1214861,Ford is a kind of truck.,10448,2006-11-14 17:50:12.10518-05,en,27.0,1.0,0
269004,1214872,Football is a kind of game.,10448,2006-11-14 17:50:12.341547-05,en,27.0,1.0,0
269020,1214889,automatic is a kind of weapons,10448,2006-11-14 17:50:12.688405-05,en,27.0,2.0,0
270491,1213108,"To understand the event ""Mom baked bread for dinner."", it is important to know that bread is a kind of food",10447,2006-11-14 17:49:41.573418-05,en,27.0,1.0,0
271257,1212208,it is a kind of room,10421,2006-11-14 17:49:25.798675-05,en,27.0,1.0,0
271434,1212002,"To understand the event ""The policemen marched in the parade."", it is important to know that Marching is a kind of walking, usually smart,, and in time ",10410,2006-11-14 17:49:22.223061-05,en,27.0,1.0,0
271930,1211521,"The statement ""a holdall is a kind of bag"" is true because Some large carry totes hold many items.",4273,2006-11-14 17:49:13.87456-05,en,27.0,1.0,0
272363,1211152,"To understand the event ""The catepillar turned into a butterfly."", it is important to know that A butterfly is a kind of insect",10394,2006-11-14 17:49:07.556025-05,en,27.0,1.0,0
272457,1211084,"To understand the event ""An owl swooped down upon a mouse."", it is important to know that Swooping is a kind of flying.",10392,2006-11-14 17:49:06.418191-05,en,27.0,1.0,0
272507,1210932,"To understand the event ""George likes snakes.  He went to the zoo to see the snakes"", it is important to know that reptiles is a kind of animal",10388,2006-11-14 17:49:03.677056-05,en,27.0,1.0,0
272858,1210500,"To understand the event ""Ricky is a white supremicist.  Ricky shot Amit, a Jew."", it is important to know that A white supremicist is a kind of racist.",10382,2006-11-14 17:48:56.06101-05,en,27.0,1.0,0
273221,1210140,"To understand the event ""Margaret slipped on a banana peel."", it is important to know that a banana peel is a kind of food",10375,2006-11-14 17:48:49.764961-05,en,27.0,1.0,0
273312,1210031,The matooke is a kind of banana.,393,2006-11-14 17:48:47.882487-05,en,27.0,1.0,0
274909,1208328,"To understand the event ""The dog barked at the mailman."", it is important to know that A dog is a kind of animal.",10343,2006-11-14 17:48:17.188245-05,en,27.0,1.0,0
275535,1207779,"To understand the event ""Farmers plant."", it is important to know that a farmer is a kind of person",10334,2006-11-14 17:48:07.631101-05,en,27.0,1.0,0
275967,1207219,"To understand the event ""Bob ate a sandwich."", it is important to know that A sandwich is a kind of food",10326,2006-11-14 17:47:57.732878-05,en,27.0,1.0,0
276446,1206731,Situation: Genetic memory is a kind of inheritance.,4273,2006-11-14 17:47:49.321919-05,en,27.0,1.0,0
277112,1206061,"To understand the event ""The telephone rang."", it is important to know that  Milk is a kind of food",10263,2006-11-14 17:47:37.701664-05,en,27.0,1.0,0
277179,1205930,"To understand the event ""Colby's parents bought him a toy fire hat."", it is important to know that A fire hat is a kind of hat which is used to protect from fire",10262,2006-11-14 17:47:35.467702-05,en,27.0,1.0,0
277183,1205934,"To understand the event ""Sandy grew up on a farm."", it is important to know that A farm is a kind of location",10262,2006-11-14 17:47:35.534347-05,en,27.0,1.0,0
277193,1205944,"To understand the event ""George pushed Mary down the stairs.  Mary pulled George down the stairs with her."", it is important to know that Falling is a kind of movement",10262,2006-11-14 17:47:35.701072-05,en,27.0,1.0,0
277196,1205947,"To understand the event ""George went to the beach to get some sun."", it is important to know that The beach is a kind of location or place",10262,2006-11-14 17:47:35.767718-05,en,27.0,1.0,0
277198,1205949,"To understand the event ""George went to the beach to get some sun."", it is important to know that Sun (in this context) is a kind of light",10262,2006-11-14 17:47:35.801004-05,en,27.0,1.0,0
277225,1205976,"To understand the event ""A spider crawled on me."", it is important to know that A spider is a kind of animal",10262,2006-11-14 17:47:36.267592-05,en,27.0,1.0,0
277411,1205726,"To understand the event ""Dave shot a duck."", it is important to know that a duck is a kind of bird",10260,2006-11-14 17:47:31.811399-05,en,27.0,1.0,0
277436,1205749,"To understand the event ""Bob ate a slice of pizza."", it is important to know that pizza is a kind of food",10260,2006-11-14 17:47:32.195461-05,en,27.0,1.0,0
277546,1205500,"To understand the event ""A mouse ate some cheese."", it is important to know that cheese is a kind of food",10256,2006-11-14 17:47:27.82948-05,en,27.0,1.0,0
278282,1204743,"To understand the event ""Marek loves to drink good beer.  Marek drank an excellent ale at the Brew Pub."", it is important to know that A pub is a kind of bar.",10236,2006-11-14 17:47:14.585582-05,en,27.0,1.0,0
278380,1204612,"To understand the event ""Jeff ate a candy bar."", it is important to know that A candy bar is a kind of food.",10232,2006-11-14 17:47:12.35369-05,en,27.0,1.0,0
280301,1202617,himalayan is a kind of cats,10182,2006-11-14 17:46:37.652277-05,en,27.0,1.0,0
281753,1201025,A computer is a kind of machine.,280,2006-11-14 17:46:10.470093-05,en,27.0,1.0,0
281773,1201047,"The statement ""a double edged razor is for getting hair off the underarms"" is true because Any razor can get hair off the underarms, and a double-edged razor is a kind of razor.",10147,2006-11-14 17:46:10.836789-05,en,27.0,1.0,0
284896,1197609,"To understand the event ""Katie and Tara took a road trip to Missoula."", it is important to know that a trip is a kind of journey",10115,2006-11-14 17:45:10.183557-05,en,27.0,1.0,0
284910,1197622,"To understand the event ""John heard a noise like thunder.  He went out of the logging cabin."", it is important to know that a cabin is a kind of house",10115,2006-11-14 17:45:10.40843-05,en,27.0,1.0,0
285477,1197070,a trout is a kind of fish,10114,2006-11-14 17:44:59.737211-05,en,27.0,1.0,0
287317,1195003,a hyacinth is a kind of flower,10041,2006-11-14 17:44:22.987451-05,en,27.0,1.0,0
287459,1194834,a subway is a kind of train that runs underground,9,2006-11-14 17:44:19.97142-05,en,27.0,1.0,0
287652,1194626,"To understand the event ""Bob ate a cookie."", it is important to know that A cookie is a kind of dessert.",2703,2006-11-14 17:44:16.391581-05,en,27.0,1.0,0
288351,1193801,The Concorde is unable to maintain supersonic speed unless all four engines are operating.,393,2006-11-14 17:44:01.980819-05,en,27.0,1.0,1
290200,1191610,Cappucino is a kind of drink.,36,2006-11-14 17:43:23.488739-05,en,27.0,3.0,0
290223,1191633,A highway is a kind of road.,36,2006-11-14 17:43:23.888619-05,en,27.0,6.0,0
290232,1191642,A crane is a kind of bird.,36,2006-11-14 17:43:24.046987-05,en,27.0,3.0,0
290361,1191570,caviar is a kind of gourmet food.,36,2006-11-14 17:43:22.797313-05,en,27.0,1.0,0
290399,1191499,A Jolly Rancher is a kind of candy.,36,2006-11-14 17:43:21.600587-05,en,27.0,2.0,0
290627,1191148,A cow is a kind of animal.,9938,2006-11-14 17:43:15.503184-05,en,27.0,5.0,0
291014,1190789,A suit is a kind of clothing.,9912,2006-11-14 17:43:09.21211-05,en,27.0,1.0,0
291116,1190512,a metaphor is a kind of figurative language,2175,2006-11-14 17:43:04.347916-05,en,27.0,1.0,0
292372,1189198,Why would anyone want to punch anybody else or want to think about it unless trying to proove something or to stop what it is the other person is trying to proove.,9866,2006-11-14 17:42:41.483033-05,en,27.0,1.0,1
293520,1187821,a pie is a kind of dessert,9800,2006-11-14 17:42:16.652915-05,en,27.0,6.0,0
293888,1187492,"Another way to say ""An eagle is a kind of bird."" is ""a type of bird is an eagle""",7801,2006-11-14 17:42:10.885056-05,en,27.0,1.0,0
294168,1187003,Federal is a kind of taxes paid to the national government.,9481,2006-11-14 17:42:02.36238-05,en,27.0,1.0,0
294349,1186997,Music is a kind of sound people like to hear.,9481,2006-11-14 17:42:02.262405-05,en,27.0,1.0,0
294351,1186999,Dip is a kind of food eaten at parties.,9481,2006-11-14 17:42:02.295734-05,en,27.0,1.0,0
297478,1183388,Squaredancing is a kind of dance.,9654,2006-11-14 17:40:59.046478-05,en,27.0,1.0,0
297933,1182748,Salad is a kind of appetizer,9622,2006-11-14 17:40:47.910966-05,en,27.0,1.0,0
297934,1182749,Chicken breast with smash potatoes is a kind of entree,9622,2006-11-14 17:40:47.927681-05,en,27.0,1.0,0
297944,1182759,Aerobics is a kind of sport,9622,2006-11-14 17:40:48.102665-05,en,27.0,1.0,0
299066,1181596,"The statement ""Shampoo is used to wash someones hair"" is true because shampoo is a kind of detergent",1911,2006-11-14 17:40:27.898092-05,en,27.0,1.0,0
300056,1180266,Situation: Being outside in nature is a kind of prayer.,4273,2006-11-14 17:40:04.797261-05,en,27.0,1.0,0
302871,1177081,Situation: SPAM is a kind of food.,9527,2006-11-14 17:39:08.849634-05,en,27.0,1.0,0
304500,1175179,a cadillac is a kind of cars,9449,2006-11-14 17:38:35.34955-05,en,27.0,2.0,0
305509,1173929,A Volvo is a kind of car.,7533,2006-11-14 17:38:13.388206-05,en,27.0,2.0,0
306055,1173339,a species is a kind of animal,29,2006-11-14 17:38:02.863847-05,en,27.0,1.0,0
306190,1173277,"Another way to say ""Chicken is a kind of bird."" is ""Chichen is a bird""",8064,2006-11-14 17:38:01.809609-05,en,27.0,1.0,0
307943,1171202,"Another way to say ""a honeybee is a kind of bee"" is ""There are many types of bees, one being the ""honeybee>""""",4273,2006-11-14 17:37:25.211658-05,en,27.0,1.0,0
308366,1170819,"Another way to say ""chowder is a kind of soup"" is ""One type of soup is called chowder.""",4273,2006-11-14 17:37:17.864651-05,en,27.0,1.0,0
309065,1170150,"Another way to say ""An ache is a kind of pain."" is ""There are many forms of pain felt; ache is one of them.""",4273,2006-11-14 17:37:06.0691-05,en,27.0,1.0,0
309096,1170181,"Another way to say ""Sugar is a kind of food."" is ""One kind of food is sucrose.""",4273,2006-11-14 17:37:06.590127-05,en,27.0,1.0,0
310390,1168679,"Another way to say ""spaghetti is a kind of pasta"" is ""Pasta comes in many shapes. One shape is called spaghetti.""",4273,2006-11-14 17:36:40.149276-05,en,27.0,1.0,0
310576,1168464,Situation: CHI is a kind of energy,9319,2006-11-14 17:36:36.28668-05,en,27.0,1.0,0
312309,1690021,a destroyer is a kind of battleship.,24426,2008-09-29 20:04:51.417292-04,en,16.0,1.0,0
312362,1696778,the set of nonzero rational numbers under multiplication is a kind of group.,24884,2008-11-26 22:44:09.623989-05,en,16.0,1.0,0
312364,1696785,A root system is a kind of set of vectors.,24884,2008-11-27 02:22:44.922939-05,en,16.0,1.0,0
312396,1696552,a time loop is a kind of a temporal paradox.,12200,2008-11-24 12:26:14.165737-05,en,16.0,1.0,0
312399,1696733,a mote is a kind of speck.,12200,2008-11-26 18:14:28.184493-05,en,16.0,1.0,0
312461,1696965,a neonatologist is a kind of doctor.,12200,2008-12-01 10:47:27.76216-05,en,16.0,1.0,0
312471,1696881,Ebay is a kind of online auction hosting site --- probably the most popular one in the world in the year 2008.,24889,2008-11-29 15:23:33.393713-05,en,16.0,1.0,0
312496,1697002,an ENT is a kind of doctor.,12200,2008-12-01 11:07:32.881584-05,en,16.0,1.0,0
312510,1697003,a gynecologist is a kind of doctor.,12200,2008-12-01 11:09:14.68919-05,en,16.0,1.0,0
312511,1697004,a virologist is a kind of doctor.,12200,2008-12-01 11:09:29.005852-05,en,16.0,1.0,0
312512,1697005,a pathologist is a kind of doctor.,12200,2008-12-01 11:09:43.522175-05,en,16.0,1.0,0
312521,1697016,a shot is a kind of injection.,12200,2008-12-01 11:14:50.153933-05,en,16.0,1.0,0
312526,1697022,medicine is a kind of treatment.,12200,2008-12-01 11:18:34.072788-05,en,16.0,1.0,0
312527,1697023,a shot is a kind of treatment.,12200,2008-12-01 11:18:49.770441-05,en,16.0,1.0,0
312543,1696820,vaccum cleaner is a kind of machine.,24426,2008-11-27 16:22:16.253511-05,en,16.0,1.0,0
312615,1698452,room in a house is a kind of container.,24854,2008-12-15 04:04:14.96023-05,en,16.0,1.0,0
312681,1697238,a bull horn is a kind of horn.,12200,2008-12-03 18:13:41.984959-05,en,16.0,1.0,0
312682,1697240,a car horn is a kind of horn.,12200,2008-12-03 18:14:04.140223-05,en,16.0,1.0,0
312725,1699117,logic is a kind of way of thinking.,24273,2008-12-20 07:56:42.115547-05,en,16.0,1.0,0
312856,1699178,meditation is a kind of contemplation.,24273,2008-12-20 09:45:00.005268-05,en,16.0,1.0,0
313153,1699552,Ecology is a kind of science.,24273,2008-12-27 03:59:08.824699-05,en,16.0,1.0,0
313402,1699667,Wii is a kind of Gaming System.,24945,2009-01-04 14:22:54.354203-05,en,16.0,1.0,0
313424,1700912,banana is a kind of dessert.,24987,2009-01-22 02:20:30.554209-05,en,16.0,1.0,0
313435,1699997,IBM is a kind of defense contractor.,24426,2009-01-10 14:25:17.797598-05,en,16.0,1.0,0
313436,1700032,A tigger shark is a kind of shark.,24426,2009-01-11 08:44:43.340903-05,en,16.0,1.0,0
313445,1700614,FIRST robotics is a kind of afterschool activity.,24883,2009-01-16 11:42:23.957404-05,en,16.0,1.0,0
313446,1700078,archery is a kind of sport.,24426,2009-01-11 10:33:02.761783-05,en,16.0,1.0,0
313477,1695355,an actress is a kind of person.,12200,2008-11-17 16:49:33.743475-05,en,16.0,1.0,0
313478,1695356,a user is a kind of person.,12200,2008-11-17 16:49:52.591422-05,en,16.0,1.0,0
313542,1695562,a graduation is a kind of event.,12200,2008-11-17 20:20:46.214943-05,en,16.0,1.0,0
313609,1694744,a rooster is a kind of bird.,12200,2008-11-13 02:26:52.106777-05,en,16.0,1.0,0
313613,1683488,Aggrotech is a kind of industrial.,24236,2008-02-09 17:58:07.075297-05,en,16.0,1.0,0
313614,1683489,Futurepop is a kind of industrial.,24236,2008-02-09 17:58:48.870099-05,en,16.0,1.0,0
313615,1683490,Noize is a kind of industrial.,24236,2008-02-09 17:59:29.178933-05,en,16.0,1.0,0
313616,1683491,Power noize is a kind of industrial.,24236,2008-02-09 18:00:08.454488-05,en,16.0,1.0,0
313617,1683492,Sytrus is a kind of soft-synth.,24236,2008-02-09 18:02:13.669596-05,en,16.0,1.0,0
313618,1683493,Cyberpunk is a kind of hard Sci-fi.,24236,2008-02-09 18:03:23.729051-05,en,16.0,1.0,0
313671,1694889,a knuckle is a kind of joint.,12200,2008-11-13 19:11:04.209445-05,en,16.0,1.0,0
313672,1694890,a wrist is a kind of joint.,12200,2008-11-13 19:11:13.537598-05,en,16.0,1.0,0
313673,1694891,an elbow is a kind of joint.,12200,2008-11-13 19:11:25.747797-05,en,16.0,1.0,0
314113,1683724,Glenfiddich is a kind of scotch.,24256,2008-02-13 23:01:32.891118-05,en,16.0,1.0,0
314114,1683725,Absolut is a kind of vodka.,24256,2008-02-13 23:01:48.559184-05,en,16.0,1.0,0
314123,1684012,acid is a kind of chemical.,7504,2008-03-16 16:46:34.401151-04,en,16.0,1.0,0
314156,1684013,base is a kind of chemical.,7504,2008-03-16 16:46:47.381328-04,en,16.0,1.0,0
314215,1683795,idiot is a kind of person.,24266,2008-02-27 07:19:06.758158-05,en,16.0,1.0,0
314308,1684074,country is a kind of area.,24280,2008-03-18 04:00:37.498244-04,en,16.0,1.0,0
314678,1684139,computer is a kind of multimedia device.,24280,2008-03-25 11:15:24.675704-04,en,16.0,1.0,0
314679,1684140,headphones is a kind of audio device.,24280,2008-03-25 11:15:38.917891-04,en,16.0,1.0,0
314686,1684163,r/c car is a kind of toy.,24280,2008-03-25 16:57:07.999424-04,en,16.0,1.0,0
314687,1684164,rc car is a kind of car.,24280,2008-03-25 16:57:24.530087-04,en,16.0,1.0,0
314688,1684165,rc car is a kind of toy.,24280,2008-03-25 16:57:34.624971-04,en,16.0,1.0,0
314689,1684167,wii is a kind of console.,24280,2008-03-25 16:59:17.784586-04,en,16.0,1.0,0
314720,1684168,console is a kind of computer.,24280,2008-03-25 16:59:39.350088-04,en,16.0,1.0,0
314721,1684169,console is a kind of tv game.,24280,2008-03-25 16:59:54.230407-04,en,16.0,1.0,0
314735,1684206,database manager is a kind of software.,24280,2008-03-26 05:56:29.960534-04,en,16.0,1.0,0
314802,1684339,manager is a kind of human.,24280,2008-03-27 16:57:38.22958-04,en,16.0,1.0,0
314803,1684220,grammar is a kind of structure.,24280,2008-03-26 06:10:17.701689-04,en,16.0,1.0,0
314855,1684227,swedish is a kind of language.,24280,2008-03-26 06:13:01.842261-04,en,16.0,1.0,0
314856,1684229,mobile phone is a kind of phone.,24280,2008-03-26 06:57:55.531729-04,en,16.0,1.0,0
314857,1684230,cellphone is a kind of phone.,24280,2008-03-26 06:58:03.483496-04,en,16.0,1.0,0
314858,1684231,cellular phone is a kind of phone.,24280,2008-03-26 06:58:13.040745-04,en,16.0,1.0,0
314859,1684234,mobile phone is a kind of computer.,24280,2008-03-26 06:59:02.470008-04,en,16.0,1.0,0
314860,1684235,clock is a kind of mechanical device.,24280,2008-03-26 06:59:21.859079-04,en,16.0,1.0,0
314862,1684239,micro-t is a kind of rc car.,24280,2008-03-26 07:56:15.95001-04,en,16.0,1.0,0
314868,1684254,grizzly bear is a kind of bear.,24280,2008-03-26 08:32:58.640262-04,en,16.0,1.0,0
314869,1684255,brown bear is a kind of bear.,24280,2008-03-26 08:33:14.268969-04,en,16.0,1.0,0
314870,1684256,polar bear is a kind of bear.,24280,2008-03-26 08:33:25.915786-04,en,16.0,1.0,0
315113,1684342,clerk is a kind of profession.,24280,2008-03-27 16:58:19.24542-04,en,16.0,1.0,0
315114,1684344,internet is a kind of connection.,24280,2008-03-27 16:58:50.55226-04,en,16.0,1.0,0
315156,1684435,vehicle is a kind of physical object.,24280,2008-04-05 04:41:58.662026-04,en,16.0,1.0,0
315164,1684360,police is a kind of job.,24280,2008-03-30 04:19:35.031075-04,en,16.0,1.0,0
315165,1684361,police is a kind of human.,24280,2008-03-30 04:19:42.712324-04,en,16.0,1.0,0
315166,1684362,party is a kind of activity.,24280,2008-03-30 04:20:01.71696-04,en,16.0,1.0,0
315167,1684365,barking is a kind of activity.,24280,2008-03-30 05:13:33.429805-04,en,16.0,1.0,0
315168,1684368,grease is a kind of fat.,24280,2008-03-30 15:04:00.516439-04,en,16.0,1.0,0
315169,1684369,cucumber is a kind of edible fruit.,24280,2008-03-30 15:59:04.923568-04,en,16.0,1.0,0
315170,1684370,edible fruit is a kind of fruit.,24280,2008-03-30 15:59:14.694373-04,en,16.0,1.0,0
315326,1685064,arginine is a kind of amino acid.,24324,2008-05-26 18:02:21.764655-04,en,16.0,1.0,0
315330,1684541,application server is a kind of software.,24280,2008-04-25 06:26:41.817631-04,en,16.0,1.0,0
315331,1684546,compaq is a kind of company.,24280,2008-04-25 06:38:13.960078-04,en,16.0,1.0,0
315332,1684547,hewlett-packard is a kind of company.,24280,2008-04-25 06:38:33.253527-04,en,16.0,1.0,0
315333,1684548,Boeing 747 is a kind of airplane.,24280,2008-04-25 06:39:16.876443-04,en,16.0,1.0,0
315334,1684549,jumbojet is a kind of airplane.,24280,2008-04-25 06:39:25.51122-04,en,16.0,1.0,0
315335,1684550,superjet is a kind of airplane.,24280,2008-04-25 06:39:32.575143-04,en,16.0,1.0,0
315336,1684551,airbud is a kind of company.,24280,2008-04-25 06:39:53.744265-04,en,16.0,1.0,0
315337,1684552,airbus is a kind of company.,24280,2008-04-25 06:39:59.400267-04,en,16.0,1.0,0
315338,1684553,Airbus a380 is a kind of airplane.,24280,2008-04-25 06:40:24.15653-04,en,16.0,1.0,0
315339,1684554,airplane is a kind of aircraft.,24280,2008-04-25 06:40:39.595624-04,en,16.0,1.0,0
315340,1684555,airliner is a kind of airplane.,24280,2008-04-25 06:40:52.903492-04,en,16.0,1.0,0
315341,1684556,Boeing 777 is a kind of airliner.,24280,2008-04-25 06:41:03.720219-04,en,16.0,1.0,0
315376,1685063,cysteine is a kind of amino acid.,24324,2008-05-26 18:02:06.392118-04,en,16.0,1.0,0
315377,1685065,methionine is a kind of amino acid.,24324,2008-05-26 18:02:46.067936-04,en,16.0,1.0,0
315399,1685124,Cantonese is a kind of tonal language.,24333,2008-06-04 08:48:39.817386-04,en,16.0,1.0,0
315409,1685170,The Large Hadron Collider is a kind of particle accelerator.,24339,2008-06-09 18:15:15.689236-04,en,16.0,1.0,0
315606,1685225,A rugby ball is a kind of ball.,24343,2008-06-11 14:38:29.575989-04,en,16.0,1.0,0
315616,1685203,shoplifting is a kind of activity.,24343,2008-06-10 19:44:44.487775-04,en,16.0,1.0,0
315861,1685257,barracuda is a kind of fish.,24343,2008-06-11 17:57:11.662327-04,en,16.0,1.0,0
315865,1685263,a trainer is a kind of shoe.,24343,2008-06-11 18:01:04.593618-04,en,16.0,1.0,0
315913,1256935,Swimming pools have cold water in the winter unless they are heated.,8548,2006-11-14 18:02:40.213163-05,en,27.0,1.0,1
315960,1256958,Reading about myths requires sight unless you can read Braille.,8548,2006-11-14 18:02:40.646305-05,en,27.0,1.0,1
316260,1685297,depression is a kind of mood.,24343,2008-06-11 18:22:41.274072-04,en,16.0,1.0,0
316261,1685299,nausea is a kind of symptom.,24343,2008-06-11 18:35:18.116565-04,en,16.0,1.0,0
316262,1685300,a jig is a kind of dance.,24343,2008-06-11 18:39:11.906895-04,en,16.0,1.0,0
316423,1685306,a hug is a kind of action.,24343,2008-06-11 19:08:11.220029-04,en,16.0,1.0,0
316430,1685314,a shoelace is a kind of object.,24343,2008-06-11 19:23:22.399534-04,en,16.0,1.0,0
316434,1685324,a fist is a kind of hand shape.,24343,2008-06-11 19:28:37.032661-04,en,16.0,1.0,0
316438,1685329,a fist is a kind of hand gesture.,24343,2008-06-11 19:31:56.364721-04,en,16.0,1.0,0
316450,1685364,hand washing  is a kind of behaviour.,24343,2008-06-11 20:26:23.974037-04,en,16.0,1.0,0
316507,1685428,happiness is a kind of mood.,24343,2008-06-12 11:24:46.401447-04,en,16.0,1.0,0
316529,1685388,truth is a kind of concept.,24343,2008-06-12 05:06:46.059053-04,en,16.0,1.0,0
316531,1685394,a t-shirt is a kind of garment.,24343,2008-06-12 10:55:14.914925-04,en,16.0,1.0,0
316532,1685397,a t-shirt is a kind of man-made article.,24343,2008-06-12 10:56:59.13983-04,en,16.0,1.0,0
316554,1685432,love is a kind of intangible thing.,24343,2008-06-12 11:26:42.82285-04,en,16.0,1.0,0
316555,1685433,love  is a kind of attachment between people.,24343,2008-06-12 11:27:10.093967-04,en,16.0,1.0,0
316592,1685435,being drunk is a kind of altered state of consciousness.,24343,2008-06-12 11:29:27.601956-04,en,16.0,1.0,0
316867,1165172,Situation: What may not be so obvious is how early or how profoundly the quality of listening begins to shape character.,4273,2006-11-14 17:35:37.332905-05,en,27.0,1.0,1
316881,1707059,Chlordiazepoxide is a kind of benzodiazepine.,393,2009-02-19 13:02:20.555656-05,en,16.0,1.0,0
316882,1707062,Body dysmorphic disorder is a kind of affective spectrum disorder.,393,2009-02-19 13:08:01.036113-05,en,16.0,1.0,0
316888,1706942,ammonite is a kind of fossil.,393,2009-02-17 09:25:07.693328-05,en,16.0,1.0,0
317464,1707218,Relaxin is a kind of hormone.,393,2009-02-25 00:17:25.094064-05,en,16.0,1.0,0
317656,1164602,"To understand the event ""My cat likes to hunt birds  Birds are afraid of my cat"", it is important to know that A cat is a kind of animal",9289,2006-11-14 17:35:27.168959-05,en,27.0,1.0,0
317703,1164649,"To understand the event ""Harry bought an ice cream cone."", it is important to know that An ice cream cone is a kind of food",6521,2006-11-14 17:35:28.085367-05,en,27.0,1.0,0
317843,1164592,"To understand the event ""The bear found a hunny pot."", it is important to know that A bear is a kind of animal",9289,2006-11-14 17:35:27.002162-05,en,27.0,1.0,0
317852,1164401,"To understand the event ""Sam ate a steak."", it is important to know that A steak is a kind of food",9286,2006-11-14 17:35:23.719272-05,en,27.0,1.0,0
319225,1707478,An iPhone is a kind of computer.,24426,2009-03-01 13:59:09.880431-05,en,16.0,1.0,0
319459,1708169,sound is a kind of vibration.,25187,2009-03-10 05:30:41.72479-04,en,16.0,1.0,0
320341,1162229,Situation: Kids respect elders when elders respect themselves. It is a kind of role modeling.,4273,2006-11-14 17:34:45.602651-05,en,27.0,1.0,0
